iter	Passed	Remaining
0	248	372121
1	278	208450
2	404	201701
3	522	195258
4	690	206313
5	821	204643
6	944	201409
7	1174	219103
8	1332	220744
9	1586	236333
10	1820	246382
11	1950	241844
12	2107	241020
13	2213	234992
14	2247	222506
15	2599	241086
16	2839	247728
17	2947	242645
18	3038	236858
19	3147	232878
20	3277	230857
21	3399	228399
22	3444	221208
23	3570	219573
24	3784	223266
25	3904	221335
26	4018	219234
27	4218	221760
28	4346	220488
29	4531	222039
30	4610	218456
31	4749	217902
32	4881	216993
33	5052	217865
34	5166	216263
35	5288	215085
36	5399	213501
37	5520	212394
38	5654	211807
39	5779	210939
40	5862	208624
41	5959	206884
42	6077	205913
43	6206	205375
44	6302	203780
45	6409	202588
46	6506	201160
47	6606	199837
48	6788	201016
49	6931	201010
50	6968	197982
51	7101	197753
52	7195	196439
53	7321	196043
54	7413	194775
55	7531	194196
56	7649	193651
57	7850	195177
58	8006	195544
59	8152	195653
60	8279	195318
61	8403	194905
62	8530	194567
63	8752	196387
64	8902	196534
65	9022	196040
66	9105	194752
67	9204	193838
68	9350	193928
69	9566	195438
70	9656	194357
71	9735	193092
72	9836	192289
73	9956	191864
74	10081	191545
75	10210	191314
76	10331	190939
77	10455	190607
78	10579	190296
79	10851	192612
80	10953	191892
81	11060	191266
82	11165	190627
83	11281	190177
84	11398	189751
85	11512	189285
86	11620	188725
87	11704	187796
88	11813	187293
89	11910	186603
90	12056	186670
91	12195	186649
92	12328	186512
93	12470	186528
94	12594	186260
95	12711	185900
96	12817	185386
97	13008	186098
98	13072	185002
99	13125	183755
100	13210	182983
101	13341	182862
102	13377	181440
103	13474	180864
104	13717	182244
105	13810	181615
106	13917	181181
107	14026	180790
108	14169	180818
109	14292	180607
110	14402	180225
111	14486	179533
112	14538	178451
113	14597	177469
114	14695	176987
115	14782	176366
116	14887	175982
117	14982	175467
118	15070	174892
119	15158	174323
120	15244	173735
121	15395	173894
122	15493	173450
123	15626	173409
124	15762	173382
125	15897	173357
126	16110	174173
127	16310	174831
128	16484	175200
129	16571	174634
130	16684	174363
131	16755	173642
132	17077	175529
133	17255	175904
134	17392	175854
135	17688	177403
136	17907	178161
137	18057	178218
138	18245	178646
139	18460	179333
140	18663	179880
141	18892	180671
142	19000	180304
143	19092	179789
144	19240	179796
145	19535	181170
146	19723	181534
147	19918	181957
148	19973	181098
149	20015	180137
150	20049	179121
151	20283	179884
152	20443	179979
153	20515	179308
154	20853	180954
155	21051	181366
156	21187	181241
157	21431	182029
158	21600	182180
159	21763	182268
160	21876	181942
161	22241	183695
162	22417	183879
163	22634	184392
164	22775	184271
165	23031	185088
166	23216	185318
167	23375	185333
168	23509	185150
169	23555	184289
170	23837	185261
171	24026	185506
172	24175	185440
173	24337	185466
